"stateName","year","sex","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","999"
"Arizona","2014","0","85876","85845","85064","85368","88735","89584","93286","94257","92781","91801","90290","91257","89854","92426","93347","90592","90421","90906","90768","91037","91472","93293","96536","102029","100155","94399","90338","86973","86884","88872","86418","88150","89086","88203","90222","84090","82482","81942","80261","83856","80800","80066","83394","87158","88584","82829","80714","78729","79343","84623","85704","85905","86338","86434","87988","84606","84493","83743","80906","80781","78712","76953","74841","74315","74512","74319","76565","79570","60331","60320","60078","61165","53857","49497","46784","43693","41493","37888","35592","33291","29131","28013","26256","24455","23147","124772","6711844"
"Arizona","2014","1","43907","43820","43752","43393","45119","45730","47374","47894","47537","46825","46069","46537","45573","47070","47516","45963","46206","46596","46512","47382","47077","48297","49884","51911","51229","48381","46560","45170","44883","45670","44501","45012","45153","44547","46021","42252","41583","40991","39937","42206","40417","40234","41644","43511","44528","41572","40415","39389","39705","42122","42471","42329","42628","42295","42961","40884","40672","39912","38621","38366","37162","36090","35236","34773","35054","35071","36295","37698","28536","28364","28207","28827","25175","23104","21937","20618","19813","18048","16715","15681","13594","12963","12025","10966","10335","48214","3327217"
"Arizona","2014","2","41969","42025","41312","41975","43616","43854","45912","46363","45244","44976","44221","44720","44281","45356","45831","44629","44215","44310","44256","43655","44395","44996","46652","50118","48926","46018","43778","41803","42001","43202","41917","43138","43933","43656","44201","41838","40899","40951","40324","41650","40383","39832","41750","43647","44056","41257","40299","39340","39638","42501","43233","43576","43710","44139","45027","43722","43821","43831","42285","42415","41550","40863","39605","39542","39458","39248","40270","41872","31795","31956","31871","32338","28682","26393","24847","23075","21680","19840","18877","17610","15537","15050","14231","13489","12812","76558","3384627"
"Arkansas","2014","0","37936","38151","38827","38481","38226","38748","40033","40491","39952","39659","39366","39187","38646","39891","40390","39616","39691","39728","38228","38394","39963","40452","41830","43341","42409","40174","38433","37405","37532","37978","37461","38161","38417","38506","39502","36778","36165","35788","34707","36151","34785","35398","36680","38525","38256","36123","35249","35218","36186","39322","40534","40861","40037","40882","40918","39760","39494","39346","38106","38024","37180","35778","34529","34084","33337","33317","33051","35034","25766","26237","25886","25858","23069","21445","20550","18690","17886","16176","15539","14915","13166","12339","11562","10677","9978","55050","2959597"
"Arkansas","2014","1","19357","19485","19979","19555","19615","19641","20392","20758","20310","20306","20082","20117","19703","20548","20671","20244","20404","20216","19502","19671","20621","20635","21237","21612","21161","19978","19179","18684","18607","18991","18551","19030","19326","19126","19882","18407","17785","17806","17270","18036","17206","17393","18040","19042","18941","17948","17478","17394","17996","19470","19781","20084","19663","20047","20123","19427","19381","18933","18278","18214","17691","17085","16536","16170","15852","15737","15770","16608","12207","12325","12027","12040","10722","9767","9494","8487","8129","7373","7049","6537","5665","5278","4733","4290","3882","18735","1451508"
"Arkansas","2014","2","18579","18666","18848","18926","18611","19107","19641","19733","19642","19353","19284","19070","18943","19343","19719","19372","19287","19512","18726","18723","19342","19817","20593","21729","21248","20196","19254","18721","18925","18987","18910","19131","19091","19380","19620","18371","18380","17982","17437","18115","17579","18005","18640","19483","19315","18175","17771","17824","18190","19852","20753","20777","20374","20835","20795","20333","20113","20413","19828","19810","19489","18693","17993","17914","17485","17580","17281","18426","13559","13912","13859","13818","12347","11678","11056","10203","9757","8803","8490","8378","7501","7061","6829","6387","6096","36315","1508089"
"California","2014","0","502993","504342","496348","510260","501784","497786","516713","518757","511339","509275","505790","500694","494968","508480","516473","511647","517878","527527","533920","521560","535547","543339","570119","608833","618416","597347","581759","566290","564927","571007","553933","558818","559397","548096","561031","518986","510233","508315","497074","515349","497683","499477","510953","535883","557053","526605","512195","502133","505860","533074","536652","531913","525308","526785","538185","508232","501853","493024","476824","474236","449066","428502","406154","392784","388604","369942","360524","369482","284506","279753","263564","261605","230047","211806","203131","189702","180608","166868","158160","151663","136855","131185","123529","117880","113587","688650","38649435"
"California","2014","1","256899","257117","253571","260910","255826","253744","264280","265478","261135","260135","257858","254773","252310","259140","264672","261780","264306","269429","272592","266121","273893","278340","292112","309949","315405","304662","297906","290605","290225","291594","281738","284149","282682","276602","285022","261141","256157","254233","248085","257217","248420","248022","254091","266225","279210","263220","256790","250689","253342","266424","266869","263476","259674","260088","266109","250617","246241","240577","231438","229629","216238","205330","194155","186909","184743","174949","170382","174756","133543","130090","121983","120265","105102","96030","91802","85708","80651","73782","69443","65921","59038","55906","52368","49104","46513","247913","19137568"
"California","2014","2","246094","247225","242777","249350","245958","244042","252433","253279","250204","249140","247932","245921","242658","249340","251801","249867","253572","258098","261328","255439","261654","264999","278007","298884","303011","292685","283853","275685","274702","279413","272195","274669","276715","271494","276009","257845","254076","254082","248989","258132","249263","251455","256862","269658","277843","263385","255405","251444","252518","266650","269783","268437","265634","266697","272076","257615","255612","252447","245386","244607","232828","223172","211999","205875","203861","194993","190142","194726","150963","149663","141581","141340","124945","115776","111329","103994","99957","93086","88717","85742","77817","75279","71161","68776","67074","440737","19511867"
"Colorado","2014","0","66471","66335","66169","67645","68311","68921","70967","71739","71939","71425","71896","71156","69736","70504","70336","68259","67405","67158","68837","70377","69749","71774","75184","77004","79076","77853","77647","77920","79652","79407","77137","78545","78827","77595","78905","73759","72490","70692","68596","71046","68202","68047","71254","75463","75425","71218","67586","65937","66166","70625","72322","73054","74205","75339","76222","73774","72897","72596","70314","68852","67135","65149","61988","59429","58070","55177","54693","56358","40788","39213","37667","37697","32091","29144","27121","25290","23720","21680","20419","19197","17313","16604","15656","14934","13626","81627","5319728"
"Colorado","2014","1","34130","34007","34404","34965","35036","35238","36506","36794","36869","36396","36799","36306","35681","35974","35790","34862","34260","34483","35774","36763","36565","37250","38914","39321","39990","39633","39790","40256","41203","40652","39361","40210","40250","39541","40496","37441","36756","35843","34935","36367","34851","34651","36412","38741","38316","36116","34239","33271","32994","35290","36139","36076","36668","36957","37506","36378","35887","35681","34475","33603","32575","31624","30323","29013","28258","26755","26733","27410","19724","18762","17946","17908","15085","13617","12612","11660","10843","10004","9231","8483","7644","7244","6689","6295","5678","28317","2660495"
"Colorado","2014","2","32341","32328","31765","32680","33275","33683","34461","34945","35070","35029","35097","34850","34055","34530","34546","33397","33145","32675","33063","33614","33184","34524","36270","37683","39086","38220","37857","37664","38449","38755","37776","38335","38577","38054","38409","36318","35734","34849","33661","34679","33351","33396","34842","36722","37109","35102","33347","32666","33172","35335","36183","36978","37537","38382","38716","37396","37010","36915","35839","35249","34560","33525","31665","30416","29812","28422","27960","28948","21064","20451","19721","19789","17006","15527","14509","13630","12877","11676","11188","10714","9669","9360","8967","8639","7948","53310","2659233"
"Connecticut","2014","0","36771","37081","37861","38784","38940","39590","41360","42382","43084","43750","44889","44905","45487","46501","48040","48262","48316","49427","52501","53108","54280","53015","47612","43726","42691","42069","43583","44948","44882","44644","43171","43681","43872","42952","44649","42161","41607","41222","40755","41903","41061","42549","45352","49653","51918","50429","50048","51259","53780","56416","57343","56395","56229","57504","57532","55945","55590","54066","52144","50833","48328","46005","43231","41300","39787","38266","38370","41256","30021","29190","28599","30452","25428","22349","20986","19755","18913","17579","16840","16462","15106","14769","14354","13963","13480","89785","3589082"
"Connecticut","2014","1","18782","18934","19185","19752","19877","20210","21074","21541","22016","22324","22922","23095","23364","23759","24580","24748","24791","25348","26650","26724","27554","27043","24765","22831","22178","21642","22187","22718","22557","22572","21626","21604","21502","21118","22048","20644","20309","20076","19887","20651","20035","20628","22145","24089","25238","24472","24168","24910","26096","27443","27798","27467","27199","27906","27957","27175","27160","26458","25206","24742","23304","22204","20821","19698","18920","18033","17991","19348","14048","13693","13395","14121","11573","10102","9363","8763","8212","7633","7262","6943","6228","5993","5787","5596","5284","29693","1747488"
"Connecticut","2014","2","17989","18147","18676","19032","19063","19380","20286","20841","21068","21426","21967","21810","22123","22742","23460","23514","23525","24079","25851","26384","26726","25972","22847","20895","20513","20427","21396","22230","22325","22072","21545","22077","22370","21834","22601","21517","21298","21146","20868","21252","21026","21921","23207","25564","26680","25957","25880","26349","27684","28973","29545","28928","29030","29598","29575","28770","28430","27608","26938","26091","25024","23801","22410","21602","20867","20233","20379","21908","15973","15497","15204","16331","13855","12247","11623","10992","10701","9946","9578","9519","8878","8776","8567","8367","8196","60092","1841594"
"Delaware","2014","0","11122","11092","11347","11523","11267","11043","11343","11389","11409","11325","11466","11473","11036","11470","11727","11602","11494","11118","12639","12992","12503","11997","12186","12809","13378","13833","13307","12184","12188","11985","11464","11760","11621","11660","11970","10973","10887","10474","10078","10650","10186","10665","11134","12270","12349","11726","11705","12182","12632","13323","13533","13556","13547","13607","13606","13389","13472","13330","12976","12575","12040","12089","11585","11462","11099","11270","11610","11966","8842","8662","8585","8911","7684","6959","6366","6094","5764","5161","4808","4619","4166","3885","3827","3490","3287","17951","931729"
"Delaware","2014","1","5667","5579","5821","5856","5743","5660","5667","5727","5748","5678","5847","5861","5671","5881","5938","5845","5855","5628","6236","6515","6217","6082","6110","6462","6719","6746","6437","6100","5961","5866","5678","5898","5642","5645","5755","5364","5294","5079","4834","5146","4924","5217","5354","5991","5949","5634","5537","5820","6098","6335","6598","6494","6568","6465","6412","6437","6407","6267","6127","5941","5640","5623","5285","5292","5150","5259","5330","5724","4104","4020","4005","4130","3520","3169","2892","2827","2646","2288","2156","2031","1823","1682","1622","1498","1404","6274","449427"
"Delaware","2014","2","5455","5513","5526","5667","5524","5383","5676","5662","5661","5647","5619","5612","5365","5589","5789","5757","5639","5490","6403","6477","6286","5915","6076","6347","6659","7087","6870","6084","6227","6119","5786","5862","5979","6015","6215","5609","5593","5395","5244","5504","5262","5448","5780","6279","6400","6092","6168","6362","6534","6988","6935","7062","6979","7142","7194","6952","7065","7063","6849","6634","6400","6466","6300","6170","5949","6011","6280","6242","4738","4642","4580","4781","4164","3790","3474","3267","3118","2873","2652","2588","2343","2203","2205","1992","1883","11677","482302"
"District of Columbia","2014","0","9147","8966","8372","8714","7695","6685","6640","6315","5811","5637","5405","5058","5061","5147","5095","5045","5183","5329","9157","12811","11466","10671","10980","11866","12897","14321","15030","15686","16063","16121","15529","14861","14383","13276","13372","11683","10647","9815","9088","9007","8211","8181","8206","8326","8564","7784","7238","7312","7305","7745","8077","7844","7605","7633","7717","7534","7296","7375","7172","7237","6950","6697","6322","6254","6136","5967","5578","5528","4073","4086","3841","3878","3480","3056","2951","2717","2644","2378","2237","2150","1953","1919","1798","1619","1698","11203","655510"
"District of Columbia","2014","1","4609","4615","4186","4515","3947","3392","3303","3228","2893","2824","2766","2452","2500","2614","2556","2504","2622","2635","4021","5887","5274","4955","4864","5586","6034","6325","6789","7090","7412","7489","7386","6996","6803","6321","6550","5796","5205","4665","4448","4486","4062","4061","4071","4144","4323","3877","3648","3613","3689","3926","4058","3950","3803","3814","3817","3660","3510","3563","3385","3359","3190","3110","2817","2873","2737","2634","2422","2439","1798","1793","1642","1672","1498","1309","1241","1151","1140","957","874","886","718","711","676","591","638","3488","309881"
"District of Columbia","2014","2","4538","4351","4186","4199","3748","3293","3337","3087","2918","2813","2639","2606","2561","2533","2539","2541","2561","2694","5136","6924","6192","5716","6116","6280","6863","7996","8241","8596","8651","8632","8143","7865","7580","6955","6822","5887","5442","5150","4640","4521","4149","4120","4135","4182","4241","3907","3590","3699","3616","3819","4019","3894","3802","3819","3900","3874","3786","3812","3787","3878","3760","3587","3505","3381","3399","3333","3156","3089","2275","2293","2199","2206","1982","1747","1710","1566","1504","1421","1363","1264","1235","1208","1122","1028","1060","7715","345629"
"Florida","2014","0","215254","214944","217766","218654","217731","217220","227018","229167","227040","225667","220691","222958","224468","232519","237438","234616","234243","236185","233555","228831","238480","245263","257785","276144","281410","267646","259455","251477","249414","251360","243820","245149","246114","241479","246773","232595","230800","230782","226071","234154","231518","238208","251706","264556","267147","253364","250986","256072","263325","280694","287323","285807","284165","285530","286212","276057","273446","272422","263760","262086","254450","247667","243101","241066","239455","241107","249140","262999","202258","202552","201242","208638","183711","169294","161760","152963","146904","136198","129547","122529","109075","105154","100302","94836","89044","522291","19823803"
"Florida","2014","1","109916","109704","111251","111942","110864","111136","116340","116988","115871","115528","112622","113580","114676","118389","120829","120033","119797","121520","121309","117139","121585","125820","130717","138833","141867","135135","131491","126961","126107","126286","121924","121768","122192","119253","123070","115569","113940","113379","111315","115684","113808","117062","123860","130346","132594","125279","123575","125968","129776","138157","140441","139560","138600","138774","139003","132625","131229","129836","124808","123307","118723","115633","113155","112430","111459","112185","116496","123502","94328","94731","93807","97178","85237","78082","74605","70674","67409","62372","59056","55183","49209","46748","44398","41480","38279","197784","9665081"
