"stateName","year","sex","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"Australia",2002,3,120891,121033,122225,122792,123769,125037,126682,128404,129715,131528,131534,131760,131171,128665,128114,128322,128738,134029,135063,133981,132567,131977,132319,133781,136178,139534,142123,144980,147188,148031,147913,147742,147518,147362,147303,147251,146362,145740,145583,146545,147485,148082,148032,147328,145584,142922,139284,136094,133840,133089,132872,133185,132735,130350,125103,117817,110089,103003,96769,91912,88251,85111,81864,78678,75563,72546,69706,67276,65648,64934,64809,64690,64501,64045,63386,62283,61067,59575,57199,53757,49534,44924,40678,36912,33814,30927,28097,24978,21794,18590,15425,12574,10132,7965,6136,4611,3372,2406,1686,1168,2102
"Australia",2003,2,128514,127370,127786,128847,129258,130780,132728,134539,136216,137658,139379,139282,139854,139038,135774,135727,136325,136518,141679,142660,142161,141301,140541,140670,142177,144236,147152,149367,151898,153542,153347,152461,151676,151547,151283,150929,150271,149625,148903,148576,149011,149691,150099,150041,149122,146925,143709,139544,135561,133091,132817,133465,134751,135031,133283,128390,121186,113326,106207,99858,94769,90650,87095,83318,79439,75521,71642,67884,64493,61915,60350,59337,58473,57268,55524,53045,49933,46770,43572,39941,35846,31507,27318,23599,20353,17589,15127,12899,10775,8804,7016,5444,4109,3052,2205,1561,1078,724,468,298,440
"Australia",2003,3,121880,121239,121407,122612,123184,124309,125730,127376,129099,130410,132246,132301,132527,131937,129427,128952,129185,129595,134879,135909,135263,134087,133496,133838,135299,137748,141112,143702,146558,148765,149324,149080,148907,148678,148517,148198,148006,147109,146479,146310,147154,147979,148561,148494,147773,145886,143082,139430,136221,133949,133127,132846,133132,132656,130247,124982,117673,109939,102842,96598,91722,88074,84907,81630,78411,75257,72179,69300,66825,65143,64300,64042,63832,63540,62979,62133,60838,59500,57888,55419,51767,47324,42684,38413,34621,31364,28356,25501,22423,19329,16268,13304,10677,8462,6533,4939,3637,2603,1818,1244,2249
"Australia",2004,2,129491,128933,127810,128241,129309,129880,131527,133477,135289,136966,138388,140162,140064,140633,139811,136704,136867,137448,137621,142769,144336,144344,143479,142719,142848,144052,145762,148685,150901,153432,154960,154658,153771,152985,152854,152386,151843,151179,150524,149787,149303,149595,150251,150632,150547,149434,147083,143840,139648,135637,133005,132617,133222,134457,134683,132893,127916,120679,112792,105644,99287,94157,89992,86391,82577,78606,74588,70674,66876,63431,60704,58968,57830,56835,55504,53568,50935,47759,44537,41279,37545,33386,29127,25051,21451,18337,15675,13331,11230,9259,7462,5856,4472,3319,2422,1718,1192,807,530,335,496
"Australia",2004,3,122554,122274,121650,121835,123044,123761,125034,126456,128103,129826,131133,132990,133045,133269,132677,130172,129770,129998,130401,135681,137049,136840,135661,135073,135413,136945,139445,142810,145398,148252,150257,150532,150286,150109,149875,149477,148896,148697,147790,147149,146866,147591,148400,148967,148881,148002,145971,143149,139481,136252,133901,133010,132705,132966,132463,130050,124767,117447,109705,102598,96394,91498,87824,84629,81319,78020,74824,71709,68788,66266,64514,63539,63196,62890,62496,61722,60686,59274,57814,56088,53382,49505,45014,40362,36084,32231,28845,25828,22983,19976,17002,14110,11370,8978,6996,5302,3932,2837,1987,1357,2433
"Australia",2005,2,131666,129963,129427,128320,128756,130009,130740,132388,134340,136152,137814,139217,140988,140887,141450,140887,137933,138079,138645,138808,144459,146614,146617,145750,144994,144726,145630,147344,150270,152486,154982,156397,156093,155206,154417,154078,153406,152857,152183,151513,150582,149939,150208,150838,151190,150875,149565,147185,143912,139694,135533,132738,132311,132866,134041,134220,132388,127365,120094,112181,105033,98666,93497,89291,85650,81714,77654,73604,69650,65801,62285,59407,57571,56316,55197,53623,51503,48787,45550,42265,38865,35050,30946,26788,22843,19396,16428,13894,11680,9718,7905,6281,4854,3648,2661,1907,1328,903,599,385,566
"Australia",2005,3,124794,123025,122767,122158,122348,123699,124559,125834,127256,128905,130607,131908,133766,133819,134041,133575,131075,130667,130890,131291,136918,138625,138416,137237,136650,137069,138670,141171,144536,147122,149689,151492,151763,151514,151333,150877,150242,149653,149445,148529,147706,147308,148018,148809,149360,149099,148063,146013,143174,139487,136177,133747,132833,132503,132736,132221,129802,124503,117170,109420,102331,96164,91248,87546,84320,80949,77569,74336,71181,68218,65602,63776,62727,62295,61890,61313,60323,59170,57644,56071,54067,51108,47151,42629,37980,33609,29721,26352,23357,20553,17650,14825,12128,9624,7474,5723,4258,3096,2188,1500,2671
"Australia",2006,2,133338,132253,130575,130053,128953,129501,130938,131670,133319,135272,137070,138716,140119,141886,141781,143036,142728,139757,139890,140443,141297,147451,149600,149600,148736,146971,146309,147221,148937,151862,154030,156492,157904,157598,156710,155673,155124,154446,153887,153198,152316,151188,150523,150767,151366,151465,150916,149572,147162,143859,139474,135163,132335,131863,132360,133508,133637,131745,126672,119368,111490,104340,97942,92737,88496,84769,80711,76616,72525,68520,64610,61017,58066,56134,54771,53440,51627,49407,46608,43308,39885,36363,32569,28540,24503,20719,17439,14618,12227,10155,8343,6692,5240,3987,2947,2113,1486,1015,677,440,655
"Australia",2006,3,126432,125378,123635,123390,122786,123077,124568,125429,126706,128128,129740,131423,132723,134580,134630,135523,135183,132678,132265,132486,133680,139656,141363,141153,139974,138519,139017,140619,143119,146481,148723,151004,152802,153070,152817,152376,151699,151056,150458,150239,149177,148172,147760,148452,149226,149521,149087,148032,145964,143104,139350,135958,133509,132571,132214,132447,131919,129473,124157,116810,109094,102022,95839,90899,87167,83899,80465,77049,73777,70581,67553,64840,62952,61825,61299,60747,59982,58879,57612,55980,54143,51844,48766,44744,40208,35474,31040,27202,23879,20936,18205,15437,12786,10304,8047,6142,4620,3371,2402,1663,2960
"Australia",1996,2,130506,131949,133179,134702,134289,134731,133937,130681,130356,130573,129341,133411,133542,131791,129453,127870,127523,128615,131079,134525,138347,142171,144965,145988,145928,145526,145372,145017,144513,144119,143497,143119,143053,143791,144905,146036,146367,145867,144030,141200,137492,133879,131749,131842,133072,134795,135533,134179,129700,122956,115526,108676,102599,97826,93990,90685,87206,83595,80088,76693,73338,70355,68337,67584,67587,67785,67591,66838,65241,63092,60736,58227,55067,51296,47062,42608,38453,34744,31748,29213,26775,24182,21528,18694,15888,13240,10940,8849,7072,5553,4262,3179,2329,1695,1220,847,571,373,240,148,211
